id,organization,job_role,location,contacts,applied_dates,remarks,status,category,count,username_password,created_at
25,xAI,https://job-boards.greenhouse.io/xai/jobs/4800108007,,,2025-09-14,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
26,Nuro,https://www.nuro.ai/careersitem?gh_jid=5434059,,,2025-09-14,,Applied,Fulltime,7,,2026-05-09 13:21:12.153358
27,LangChain,https://jobs.ashbyhq.com/langchain/c75915ba-a32b-4e17-873d-19b47564170d/application?embed=js,,,2025-09-14,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
28,Mojang,,,,2025-09-14,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
29,Cherre,https://jobs.lever.co/cherre/776a468f-0fc3-42f9-a5e1-a0f89353414f,,,2025-09-16,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
30,OpusClip,https://jobs.ashbyhq.com/opusclip/41e2464a-42fd-43db-bec7-910763904887?employmentType=FullTime&locationId=f4f88eed-6415-4d0d-a5b6-cc58355f1246,,,2025-09-16,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
31,Elevance Health,,,,2025-09-18,,Rejected,Fulltime,4,,2026-05-09 13:21:12.153358
32,Prophecy,https://job-boards.greenhouse.io/prophecysimpledatalabs/jobs/4876131007,,,2025-09-18,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
33,Caterpillar,,,,2025-09-18,,Rejected,Fulltime,8,5 Rejected,2026-05-09 13:21:12.153358
34,Quantcast,,,,2025-09-18,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
35,Loop,https://www.loop.com/company/careers#open-roles,,,2025-09-18,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
36,Kodiak,https://job-boards.greenhouse.io/kodiak/jobs/4009494009,,,2025-09-19,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
37,Parafin,,,,2025-09-19,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
38,Ironclad,https://jobs.ashbyhq.com/ironcladhq/186a9b25-0d54-43d9-a637-c54208dbe415/application,,,2025-09-28,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
39,DE Shaw,,,,2025-10-04,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
40,Twitch,,,,2025-10-04,,Rejected,Fulltime,4,2 Rejected,2026-05-09 13:21:12.153358
41,Travellers,,,,2025-10-12,,Rejected,Fulltime,4,,2026-05-09 13:21:12.153358
42,Cohere AI,,,,2025-10-12,,Applied,Fulltime,19,,2026-05-09 13:21:12.153358
43,ESRI,,India,,2025-10-12,,Rejected,Fulltime,4,,2026-05-09 13:21:12.153358
44,Promise,,,,2025-10-31,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
45,Rover.com,,,,2025-10-31,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
46,ExtraHop,,,,2025-10-31,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
47,Replit,,,,2025-10-31,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
48,Watershed,https://jobs.ashbyhq.com/Watershed/d83c7850-2211-4cbd-a527-09e25f5d94a8/application?utm_source=Simplify&ref=Simplify,,,2025-10-31,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
49,Applied Intuition,,,,2025-11-05,,Rejected,Fulltime,12,,2026-05-09 13:21:12.153358
50,Paypal,,,,2025-11-05,,Applied,Fulltime,4,,2026-05-09 13:21:12.153358
51,SkildAI,https://www.skild.ai/career,,,2025-11-05,,Applied,Fulltime,12,,2026-05-09 13:21:12.153358
52,Celonis*,,,,2025-11-05,,Rejected,Fulltime,6,,2026-05-09 13:21:12.153358
53,TransUnion,,,,2025-11-08,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
54,Sony Interactive,https://careers.playstation.com/machine-learning-engineer-ii-search/job/5664044004,,,2025-11-08,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
55,Experian*,,,,2025-11-08,,Rejected,Fulltime,4,,2026-05-09 13:21:12.153358
56,Gruve,https://gruve.ai/careers/?gh_jid=4662372008,,,2025-11-08,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
57,Rokt,,,,2025-11-10,,Applied,Fulltime,4,,2026-05-09 13:21:12.153358
58,Decagon,,,,2025-11-10,,Applied,Fulltime,6,,2026-05-09 13:21:12.153358
59,Uber,,,,2025-11-10,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
60,TwoSigma,,,,2025-11-10,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
61,Cisco,https://careers.cisco.com/global/en/job/1444681/AI-Software-Engineering-Hybrid,,,2025-11-13,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
62,AstraZeneca,,,,2025-11-13,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
63,Goldman Sachs,,,,2025-11-13,,Applied,Fulltime,6,,2026-05-09 13:21:12.153358
64,Lenovo,https://jobs.lenovo.com/en_US/careers/JobDetail?jobId=71031,,,2025-11-13,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
65,Abbvie,,,,2025-11-13,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
66,MSCI,,8 in India,,2025-11-13,,Applied,Fulltime,12,,2026-05-09 13:21:12.153358
67,iHeartMedia,,,,2025-11-13,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
68,EvenUp*,,,,2025-11-13,,Applied,Fulltime,9,,2026-05-09 13:21:12.153358
69,DeepScribe,,,,2025-11-16,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
70,AvenueZ,,,,2025-11-16,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
71,Clariti,,,,2025-11-16,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
72,RedBull PU,,,Hardik,2025-11-18,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
73,Amex,,,Swattik,2025-11-18,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
74,Databricks,https://www.databricks.com/company/careers/open-positions,,,2025-11-18,,Rejected,Fulltime,6,,2026-05-09 13:21:12.153358
75,Herald API,https://job-boards.greenhouse.io/heraldapi/jobs/4976239008,,,2025-11-18,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
76,UpStart,,,,2025-11-18,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
77,Lime,https://www.li.me/about/careers,,,2025-11-24,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
78,United Health Group,,,,2025-11-24,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
79,ScaleAI,,,,2025-11-24,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
80,Broadcom,,,,2025-11-24,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
81,LexisNexis,,,,2025-11-24,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
82,Cresta,https://cresta.com/careers#careers,,,2025-11-24,,Rejected,Fulltime,4,2 Rejected,2026-05-09 13:21:12.153358
83,BlackRock,,3 India,,2025-11-24,,Rejected,Fulltime,6,1 Rejected,2026-05-09 13:21:12.153358
84,Waabi,,,,2025-11-24,,Applied,Fulltime,6,,2026-05-09 13:21:12.153358
85,Xpeng,,,,2025-11-25,,Rejected,Fulltime,6,,2026-05-09 13:21:12.153358
86,Altos Labs,https://www.altoslabs.com/careers,,,2025-11-25,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
87,IMC,,,,2025-11-25,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
88,Plaid,,,,2025-11-30,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
89,Norm AI,https://jobs.ashbyhq.com/norm-ai/863bc8ca-aa4f-4f84-904e-a1ec7e3f2ff4,,,2025-12-08,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
90,Moloco,,,,2025-12-08,,Rejected,Fulltime,11,,2026-05-09 13:21:12.153358
91,DRW,https://www.drw.com/work-at-drw/listings?filterType=campus&value=Campus,,,2025-12-08,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
92,Zillow,,,,2025-12-08,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
93,Physicx,https://www.physicsx.ai/careers,,,2025-12-08,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
94,10a Labs,https://job-boards.greenhouse.io/10alabs,,,2025-12-08,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
95,Crusoe,,,,2025-12-30,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
96,Applied Materials,,,,2025-12-30,,Rejected,Fulltime,4,,2026-05-09 13:21:12.153358
97,SSI,,,,2025-12-30,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
98,Salesforce,,,Jyotika,2026-01-01,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
99,Roe,,,,2026-01-03,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
100,BosonAI,https://www.boson.ai/,,,2026-01-03,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
101,KLA,,,,2026-01-04,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
102,Thoughtworks,,Singapore,,2026-01-05,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
103,Lazard,,,,2026-01-05,,Applied,Fulltime,1,Bunu#22122402%@$,2026-05-09 13:21:12.153358
104,Nordstrom,,,,2026-01-06,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
105,IBM,,,,2026-01-06,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
106,LumaAI,,,,2026-01-06,,Applied,Fulltime,5,,2026-05-09 13:21:12.153358
107,CD Projekt,,Poland,,2026-01-06,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
108,Field Guide,,,,2026-01-07,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
109,Cotiviti,,,,2026-01-07,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
110,Warner Music Group,,,,2026-01-09,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
111,Thermo Fisher,,,,2026-01-12,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
112,Distyl,,,,2026-01-12,,Rejected,Fulltime,6,,2026-05-09 13:21:12.153358
113,Bracebridge,,,,2026-01-12,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
114,Nutanix,,,,2026-01-12,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
115,Xogene,,,,2026-01-13,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
116,Navy Federal,,,,2026-01-13,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
117,Accenture,,,,2026-01-15,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
118,Quora,,,,2026-01-15,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
119,Payscale,,,,2026-01-15,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
120,CrowdStrike,,,,2026-01-16,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
121,Bayer,,1 Poland,,2026-01-16,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
122,Ameriprise,,,,2026-01-16,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
123,Gartner,,,,2026-01-18,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
124,Assort Health,,,,2026-01-18,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
125,Aircall,,,,2026-01-18,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
126,Tatari,,,,2026-01-18,,Rejected,Fulltime,4,,2026-05-09 13:21:12.153358
127,Tempus,,,,2026-01-18,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
128,Kaseya,,,,2026-01-19,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
129,Pinterest,,,,2026-01-20,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
130,AES,,,,2026-01-20,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
131,RedHat,,,,2026-01-20,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
132,ArizeAI,,,,2026-01-20,,Rejected,Fulltime,7,,2026-05-09 13:21:12.153358
133,Cayuse Holdings,,,,2026-01-20,,Rejected,Fulltime,6,,2026-05-09 13:21:12.153358
134,Ipsos,,,,2026-01-20,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
135,Far.ai,,,,2026-01-21,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
136,Aechelon,,,,2026-01-21,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
137,CVS,,,,2026-01-21,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
138,Roku,,,,2026-01-21,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
139,Meta,,,,2026-01-22,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
140,NVIDIA,,,Aditi Di,2026-01-22,,Applied,Fulltime,6,,2026-05-09 13:21:12.153358
141,HPE,,,,2026-01-22,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
142,Zoox,,,Rajat Bhaiya,2026-01-22,,Applied,Fulltime,4,,2026-05-09 13:21:12.153358
143,Oracle,,,,2026-01-24,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
144,Actively AI,,,,2026-01-24,,Applied,Fulltime,6,,2026-05-09 13:21:12.153358
145,ETS,,,,2026-01-24,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
146,Manulife,,,,2026-01-27,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
147,Cohere Health,,,,2026-01-27,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
148,Scowtt,,,,2026-01-27,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
149,CaseGaurd,https://caseguard.com/careers/,,,2026-01-27,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
150,iTradeNetwork,,,,2026-01-27,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
151,Vilya,,,,2026-01-27,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
152,City of NY,,,,2026-01-28,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
153,GumGum*,,,,2026-01-28,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
154,MAI,,,,2026-01-28,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
155,Visa,,,,2026-01-28,,Rejected,Fulltime,9,3 Rejected,2026-05-09 13:21:12.153358
156,Stepstone,,,,2026-01-28,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
157,asari ai,,,,2026-01-28,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
158,Shipt,,,,2026-01-28,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
159,Astrix,,,,2026-01-31,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
160,Tubi*,,,,2026-01-31,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
161,Stripe,,,,2026-01-31,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
162,Disney,,,,2026-01-31,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
163,Pitchbook*,,,,2026-02-01,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
164,Magnite,,,,2026-02-01,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
165,Voleon Group*,,,,2026-02-01,,Applied,Fulltime,12,,2026-05-09 13:21:12.153358
166,HRT,,,,2026-02-01,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
167,Block*,,,,2026-02-01,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
168,WhatNot*,,,,2026-02-01,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
169,Percepta,,,,2026-02-01,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
170,Amigo,,,,2026-02-01,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
171,Mercedes Benz,,Malaysia,,2026-02-01,,Rejected,Fulltime,2,Bunu#19283@$,2026-05-09 13:21:12.153358
172,Lucidya,,Riyadh,,2026-02-01,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
173,G42,,Abu Dhabi,,2026-02-01,,Applied,Fulltime,5,,2026-05-09 13:21:12.153358
174,Shift,,"France, Japan, Singapore",,2026-02-01,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
175,Alan*,,Paris,,2026-02-01,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
176,Siemens,,,,2026-02-02,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
177,Oden Technologies*,,,,2026-02-02,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
178,PurePower*,,,,2026-02-02,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
179,DHL*,,,,2026-02-02,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
180,Judi Health*,,,,2026-02-02,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
181,HockeyStack,,,,2026-02-02,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
182,HorizonMedia,,,,2026-02-02,,Rejected,Fulltime,4,,2026-05-09 13:21:12.153358
183,Figma,,,,2026-02-02,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
184,Citizen Health,,,,2026-02-02,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
185,Dialpad,,Canada,,2026-02-02,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
186,Hex*,,,,2026-02-02,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
187,Slingshot AI,,,,2026-02-02,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
188,Waymo,,,,2026-02-02,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
189,InductiveBio,,,,2026-02-02,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
190,BrainTrust,,,,2026-02-02,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
191,Wonderschool,,,,2026-02-02,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
192,Spade,,,,2026-02-02,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
193,Pindrop,,,,2026-02-02,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
194,Labelbox*,,,,2026-02-02,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
195,Optum,,,Anant Sir,2026-02-03,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
196,Ford*,,,,2026-02-03,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
197,Honda,,,,2026-02-03,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
198,Toyota,,,,2026-02-03,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
199,Slack,,,,2026-02-03,,Rejected,Fulltime,7,,2026-05-09 13:21:12.153358
200,100ms,,India,,2026-02-03,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
201,AegisAI,,,,2026-02-03,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
202,AssemblyAI,,,,2026-02-03,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
203,Astral,,,,2026-02-03,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
204,Dovetail,,Sydney,,2026-02-03,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
205,Moveworks*,,,,2026-02-03,,Applied,Fulltime,4,,2026-05-09 13:21:12.153358
206,Helsing,,Berlin,,2026-02-03,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
207,Exa,,,,2026-02-03,,Applied,Fulltime,2,Sponsors,2026-05-09 13:21:12.153358
208,Cartesia,,,,2026-02-03,,Rejected,Fulltime,4,,2026-05-09 13:21:12.153358
209,Cognizant,,,,2026-02-04,5-Feb-26,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
210,Asana,,,,2026-02-04,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
211,Mirage,,,,2026-02-04,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
212,The Trade Desk,,,,2026-02-04,,Applied,Fulltime,5,,2026-05-09 13:21:12.153358
213,Arrowstreet,,,,2026-02-04,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
214,Basis,,,,2026-02-04,,Applied,Fulltime,4,,2026-05-09 13:21:12.153358
215,LogicMonitor*,,,,2026-02-05,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
216,Expedia,,,,2026-02-05,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
217,Talroo,,,,2026-02-05,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
218,PathAI,,,,2026-02-05,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
219,Traversal,,,,2026-02-05,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
220,XBOW,,,,2026-02-05,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
221,Glean,,,,2026-02-05,,Rejected,Fulltime,7,,2026-05-09 13:21:12.153358
222,Cobot,,,,2026-02-05,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
223,Attentive*,,,,2026-02-05,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
224,Semgrep,,,,2026-02-05,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
225,Strava,,,,2026-02-05,,Rejected,Fulltime,4,,2026-05-09 13:21:12.153358
226,Cadence,,,,2026-02-06,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
227,Burford,,,,2026-02-06,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
228,Cyberhill*,,,,2026-02-06,,Applied,Fulltime,2,,2026-05-09 13:21:12.153358
229,Snowflake,,,,2026-02-06,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
230,Instacart,,,,2026-02-06,,Applied,Fulltime,4,,2026-05-09 13:21:12.153358
231,Reddit,,,,2026-02-06,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
232,Klarna,,Europe,,2026-02-06,,Rejected,Fulltime,7,,2026-05-09 13:21:12.153358
233,Aurora,,,,2026-02-06,,Rejected,Fulltime,4,,2026-05-09 13:21:12.153358
234,Culture Amp,,Australia,,2026-02-06,,Rejected,Fulltime,6,,2026-05-09 13:21:12.153358
235,Faire,,,,2026-02-06,,Rejected,Fulltime,7,,2026-05-09 13:21:12.153358
236,Peregrine,,,,2026-02-06,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
237,Biohub,,,,2026-02-07,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
238,ZS,,,,2026-02-07,,Rejected,Fulltime,11,,2026-05-09 13:21:12.153358
239,Valkyrie,,,,2026-02-07,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
240,Gecko Robotics,,,,2026-02-07,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
241,Danaher*,,,,2026-02-07,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
242,Bank of America,,,,2026-02-08,,Rejected,Fulltime,8,,2026-05-09 13:21:12.153358
243,Susquehanna,,,,2026-02-08,,Applied,Fulltime,6,,2026-05-09 13:21:12.153358
244,Stryker,,,,2026-02-08,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
245,Autodesk,,,,2026-02-08,,Rejected,Fulltime,4,,2026-05-09 13:21:12.153358
246,Intuit,,,,2026-02-08,,Applied,Fulltime,14,B!un1u#2%!516@$,2026-05-09 13:21:12.153358
247,Dual Entry,,,,2026-02-08,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
248,Texas Instruments,,,,2026-02-08,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
249,Augment Code,,,,2026-02-08,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
250,Kalviyo,,,,2026-02-09,,Rejected,Fulltime,5,,2026-05-09 13:21:12.153358
251,BDO,,,,2026-02-09,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
252,Automat*,,,,2026-02-09,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
253,BambooHR,,,,2026-02-09,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
254,Blue River Technologies,,,,2026-02-09,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
255,Bold,,,,2026-02-09,,Rejected,Fulltime,1,,2026-05-09 13:21:12.153358
256,Eight Sleep,,,,2026-02-09,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
257,Quantified,,,,2026-02-09,,Applied,Fulltime,3,,2026-05-09 13:21:12.153358
258,Citi,,,,2026-02-09,,Rejected,Fulltime,7,Bunu#22122402,2026-05-09 13:21:12.153358
259,New York Life,,,,2026-02-10,,Rejected,Fulltime,3,,2026-05-09 13:21:12.153358
260,Ideogram,,,,2026-02-11,,Rejected,Fulltime,2,,2026-05-09 13:21:12.153358
261,Salient,,,,2026-02-11,,Applied,Fulltime,1,,2026-05-09 13:21:12.153358
